set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
4,5.75,1.986,0.379,-0.323,172.5,0.016543088,0.0022817883,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,187.5,0.01654309,0.0019481144,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,202.5,0.016908316,0.0018937314,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,217.5,0.01767824,0.0017748954,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,232.5,0.018938217,0.001835492,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,247.5,0.020832466,0.0019672099,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,262.5,0.023582159,0.00250867,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,277.5,0.027500205,0.0027332453,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,292.5,0.032971755,0.0033697134,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,307.5,0.04031505,0.0038783078,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,322.5,0.0493549,0.0060514044,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,337.5,0.0586201,0.008425467,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,352.5,0.06488289,0.011367482,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
5,5.75,1.999,0.381,-0.371,7.5,0.059899323,0.012014007,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,22.5,0.052475125,0.008263258,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,37.5,0.042246804,0.00640715,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,52.5,0.03306667,0.004578411,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,67.5,0.02614912,0.0028316884,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,82.5,0.02129431,0.0027755003,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,97.5,0.017971031,0.0020679266,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,112.5,0.015714198,0.0018929323,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,127.5,0.01419551,0.0019104318,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,142.5,0.013201551,0.0023614934,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,157.5,0.012600536,0.0030241287,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,172.5,0.0123171145,0.0027027444,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,187.5,0.012317115,0.002307242,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,202.5,0.012600536,0.002020748,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,217.5,0.0132015515,0.0015543506,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,232.5,0.014195509,0.0018644382,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,247.5,0.015714196,0.0019077035,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,262.5,0.017971028,0.0025838742,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,277.5,0.021294305,0.0028283095,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,292.5,0.02614912,0.003697747,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,307.5,0.03306667,0.0048131845,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,322.5,0.042246804,0.0072972905,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,337.5,0.052475117,0.011499923,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
5,5.75,1.999,0.381,-0.371,352.5,0.059899323,0.014013447,-1.37039895086283,-0.31,-0.228338633888185,0.0058632111103834
6,5.75,2.218,0.345,-0.176,7.5,0.12019951,0.0049786638,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,22.5,0.115405634,0.004590836,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,37.5,0.106998175,0.0043526855,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
