,k,QQ,x_b,t,phi_x,F,errF,ReH,ReE,ReHt,dvcs,Acc_ReH,Acc_ReE,Acc_ReHt,Acc_dvcs
740,2.5,1.0,0.3844444444444445,-0.52,180.0,-0.05286587402224541,0.003761998722124,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
741,2.5,1.0,0.3844444444444445,-0.4399999999999999,0.0,6.194953918457031,0.0250402856372923,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
742,2.5,1.0,0.3844444444444445,-0.4399999999999999,15.0,2.469906806945801,0.0118036463939609,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
743,2.5,1.0,0.3844444444444445,-0.4399999999999999,30.0,0.7789690494537354,0.0059142143704426,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
744,2.5,1.0,0.3844444444444445,-0.4399999999999999,45.0,0.2973076403141022,0.0043774981268869,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
745,2.5,1.0,0.3844444444444445,-0.4399999999999999,60.0,0.11981771141290665,0.0039229338289848,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
746,2.5,1.0,0.3844444444444445,-0.4399999999999999,75.0,0.04168169945478439,0.0037999703984543,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
747,2.5,1.0,0.3844444444444445,-0.4399999999999999,90.0,0.002969197928905487,0.003789881496592,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
748,2.5,1.0,0.3844444444444445,-0.4399999999999999,105.0,-0.01788846030831337,0.0038172506063437,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
749,2.5,1.0,0.3844444444444445,-0.4399999999999999,120.0,-0.02980215847492218,0.0038534863593509,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
750,2.5,1.0,0.3844444444444445,-0.4399999999999999,135.0,-0.036824073642492294,0.0038870168115194,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
751,2.5,1.0,0.3844444444444445,-0.4399999999999999,150.0,-0.04092126339673996,0.0039129476600657,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
752,2.5,1.0,0.3844444444444445,-0.4399999999999999,165.0,-0.04307533800601959,0.0039291109764697,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
753,2.5,1.0,0.3844444444444445,-0.4399999999999999,180.0,-0.04374800622463226,0.00393458479842,-0.48570117354393005,-0.11710227280855179,-0.20296382904052734,-0.06332296878099442,97.8731450631447,45.32958399758383,91.50554976955951,0.0
754,2.5,1.0,0.3844444444444445,-0.36,0.0,2.503833055496216,0.0122738366359488,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
755,2.5,1.0,0.3844444444444445,-0.36,15.0,1.7211216688156128,0.0094780675868267,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
756,2.5,1.0,0.3844444444444445,-0.36,30.0,0.832624614238739,0.0063663236144191,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
757,2.5,1.0,0.3844444444444445,-0.36,45.0,0.39699578285217285,0.004931960992472,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
758,2.5,1.0,0.3844444444444445,-0.36,60.0,0.19451576471328735,0.004349617986597,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
759,2.5,1.0,0.3844444444444445,-0.36,75.0,0.09391134232282639,0.004125396752519,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
760,2.5,1.0,0.3844444444444445,-0.36,90.0,0.04024007171392441,0.004052134993095,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
761,2.5,1.0,0.3844444444444445,-0.36,105.0,0.00987408310174942,0.0040422199469828,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
762,2.5,1.0,0.3844444444444445,-0.36,120.0,-0.00805533304810524,0.0040568290983479,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
763,2.5,1.0,0.3844444444444445,-0.36,135.0,-0.01886153221130371,0.0040779841821223,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
764,2.5,1.0,0.3844444444444445,-0.36,150.0,-0.02525901049375534,0.0040970503627175,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
765,2.5,1.0,0.3844444444444445,-0.36,165.0,-0.028651703149080276,0.0041097813451457,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
766,2.5,1.0,0.3844444444444445,-0.36,180.0,-0.02971547096967697,0.0041142173009515,-0.47522860765457153,-0.11742730438709259,-0.19655872881412506,-0.0604819729924202,97.46903701457532,46.41780116557355,90.77513144186608,0.0
767,2.5,1.0,0.3844444444444445,-0.28,0.0,1.3812986612319946,0.008650640656861,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
768,2.5,1.0,0.3844444444444445,-0.28,15.0,1.1784117221832275,0.0079173697864684,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
769,2.5,1.0,0.3844444444444445,-0.28,30.0,0.7974789142608643,0.0065646666835113,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
770,2.5,1.0,0.3844444444444445,-0.28,45.0,0.4899750053882599,0.005518919078259,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
771,2.5,1.0,0.3844444444444445,-0.28,60.0,0.29354745149612427,0.0049028796669995,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
772,2.5,1.0,0.3844444444444445,-0.28,75.0,0.17493471503257751,0.0045774533129348,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
773,2.5,1.0,0.3844444444444445,-0.28,90.0,0.10315190255641937,0.0044174111924268,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
774,2.5,1.0,0.3844444444444445,-0.28,105.0,0.05891239643096924,0.0043458458436553,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
775,2.5,1.0,0.3844444444444445,-0.28,120.0,0.03119359165430069,0.0043194513797753,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
776,2.5,1.0,0.3844444444444445,-0.28,135.0,0.013786077499389648,0.0043144042946661,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
777,2.5,1.0,0.3844444444444445,-0.28,150.0,0.003192652016878128,0.0043175336981681,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
778,2.5,1.0,0.3844444444444445,-0.28,165.0,-0.0025211088359355927,0.004321743114663,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
779,2.5,1.0,0.3844444444444445,-0.28,180.0,-0.004327058792114258,0.0043235080139445,-0.4647241234779358,-0.11774570494890213,-0.19013427197933197,-0.05763921141624451,97.04346376980386,47.55316607598182,90.0042305115639,0.0
780,2.5,1.0,0.4133333333333333,-1.0,0.0,0.555158257484436,0.0074443557056307,-0.5608544945716858,-0.11442723125219345,-0.24819305539131165,-0.08330240845680237,99.77552678359025,38.547181244071346,95.97813840620532,0.0
781,2.5,1.0,0.4133333333333333,-1.0,15.0,0.2998414933681488,0.0046141105344271,-0.5608544945716858,-0.11442723125219345,-0.24819305539131165,-0.08330240845680237,99.77552678359025,38.547181244071346,95.97813840620532,0.0
782,2.5,1.0,0.4133333333333333,-1.0,30.0,0.058525264263153076,0.0023901267056285,-0.5608544945716858,-0.11442723125219345,-0.24819305539131165,-0.08330240845680237,99.77552678359025,38.547181244071346,95.97813840620532,0.0
783,2.5,1.0,0.4133333333333333,-1.0,45.0,-0.027627330273389816,0.00193553079759,-0.5608544945716858,-0.11442723125219345,-0.24819305539131165,-0.08330240845680237,99.77552678359025,38.547181244071346,95.97813840620532,0.0
784,2.5,1.0,0.4133333333333333,-1.0,60.0,-0.05729591101408005,0.0019456960906153,-0.5608544945716858,-0.11442723125219345,-0.24819305539131165,-0.08330240845680237,99.77552678359025,38.547181244071346,95.97813840620532,0.0
785,2.5,1.0,0.4133333333333333,-1.0,75.0,-0.06909608095884323,0.0020304955498191,-0.5608544945716858,-0.11442723125219345,-0.24819305539131165,-0.08330240845680237,99.77552678359025,38.547181244071346,95.97813840620532,0.0
786,2.5,1.0,0.4133333333333333,-1.0,90.0,-0.07452202588319778,0.00211157818382,-0.5608544945716858,-0.11442723125219345,-0.24819305539131165,-0.08330240845680237,99.77552678359025,38.547181244071346,95.97813840620532,0.0
