,k,QQ,x_b,t,phi_x,F,std_F,ReH,std_ReH,ReE,std_ReE,ReHt,std_ReHt,dvcs,std_dvcs
645,2.5,1.0,0.3555555555555555,-0.28,120.0,0.12875945866107935,0.0045954816273853305,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
646,2.5,1.0,0.3555555555555555,-0.28,135.0,0.1076194532215595,0.004600439150441405,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
647,2.5,1.0,0.3555555555555555,-0.28,150.0,0.0949038118124008,0.004610454295318846,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
648,2.5,1.0,0.3555555555555555,-0.28,165.0,0.08809446915984151,0.004618646588998141,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
649,2.5,1.0,0.3555555555555555,-0.28,180.0,0.0859495438635349,0.004621702235515171,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
650,2.5,1.0,0.3844444444444445,-1.0,0.0,0.51533043384552,0.006732537581130213,-0.5592222213745117,0.04655153135507054,-0.2953713834285736,0.002376702934377786,-0.25831255316734314,0.04257236309346006,0.026360014453530298,0.002867956063908671
651,2.5,1.0,0.3844444444444445,-1.0,15.0,0.34310182929039,0.0046973505602361226,-0.5592222213745117,0.04655153135507054,-0.2953713834285736,0.002376702934377786,-0.25831255316734314,0.04257236309346006,0.026360014453530298,0.002867956063908671
652,2.5,1.0,0.3844444444444445,-1.0,30.0,0.1571165472269058,0.0028487054908512884,-0.5592222213745117,0.04655153135507054,-0.2953713834285736,0.002376702934377786,-0.25831255316734314,0.04257236309346006,0.026360014453530298,0.002867956063908671
653,2.5,1.0,0.3844444444444445,-1.0,45.0,0.0813195705413818,0.0023885778089458285,-0.5592222213745117,0.04655153135507054,-0.2953713834285736,0.002376702934377786,-0.25831255316734314,0.04257236309346006,0.026360014453530298,0.002867956063908671
654,2.5,1.0,0.3844444444444445,-1.0,60.0,0.053080966696143095,0.0023714214074237795,-0.5592222213745117,0.04655153135507054,-0.2953713834285736,0.002376702934377786,-0.25831255316734314,0.04257236309346006,0.026360014453530298,0.002867956063908671
