,k,QQ,x_b,t,phi_x,F,ReH,ReE,ReHt,dvcs
1087,2.5,1.0,0.4711111111111111,-0.76,120.0,-0.09016015380620956,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1088,2.5,1.0,0.4711111111111111,-0.76,135.0,-0.09179595857858658,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1089,2.5,1.0,0.4711111111111111,-0.76,150.0,-0.09274166077375412,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1090,2.5,1.0,0.4711111111111111,-0.76,165.0,-0.09323731809854507,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1091,2.5,1.0,0.4711111111111111,-0.76,180.0,-0.093392014503479,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1092,2.5,1.0,0.4711111111111111,-0.6799999999999999,0.0,222.62786865234375,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1093,2.5,1.0,0.4711111111111111,-0.6799999999999999,15.0,1.7209601402282715,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1094,2.5,1.0,0.4711111111111111,-0.6799999999999999,30.0,0.28065136075019836,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1095,2.5,1.0,0.4711111111111111,-0.6799999999999999,45.0,0.03626587241888046,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1096,2.5,1.0,0.4711111111111111,-0.6799999999999999,60.0,-0.0368637889623642,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1097,2.5,1.0,0.4711111111111111,-0.6799999999999999,75.0,-0.06509776413440704,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1098,2.5,1.0,0.4711111111111111,-0.6799999999999999,90.0,-0.07791256904602051,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1099,2.5,1.0,0.4711111111111111,-0.6799999999999999,105.0,-0.08443865180015564,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1100,2.5,1.0,0.4711111111111111,-0.6799999999999999,120.0,-0.08804239332675934,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1101,2.5,1.0,0.4711111111111111,-0.6799999999999999,135.0,-0.09012793004512787,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1102,2.5,1.0,0.4711111111111111,-0.6799999999999999,150.0,-0.0913345143198967,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1103,2.5,1.0,0.4711111111111111,-0.6799999999999999,165.0,-0.0919669046998024,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
1104,2.5,1.0,0.4711111111111111,-0.6799999999999999,180.0,-0.09216423332691193,-0.4679591655731201,-0.15111909806728363,-0.2646621763706207,-0.09771981090307236
