k,QQ,xB,t,phi,ReH,ReE,ReHt,ReEt,ImH,ImE,ImHt,ImEt,F_true,F_true_py,F_true_fix_dvcs
5.75,2.218,0.345,-0.176,67.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0764189,0.07641893,0.07641889
5.75,2.218,0.345,-0.176,82.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0679342,0.06793418,0.06793414
5.75,2.218,0.345,-0.176,97.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0606619,0.060661957,0.060661912
5.75,2.218,0.345,-0.176,112.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0547662,0.054766208,0.054766163
5.75,2.218,0.345,-0.176,127.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0502282,0.050228246,0.0502282
5.75,2.218,0.345,-0.176,142.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0469545,0.046954505,0.046954464
5.75,2.218,0.345,-0.176,157.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0448408,0.04484085,0.04484081
5.75,2.218,0.345,-0.176,172.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0438058,0.043805785,0.04380574
5.75,2.218,0.345,-0.176,187.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0438058,0.043805785,0.04380574
5.75,2.218,0.345,-0.176,202.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0448408,0.044840835,0.044840794
5.75,2.218,0.345,-0.176,217.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0469545,0.0469545,0.04695446
5.75,2.218,0.345,-0.176,232.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0502282,0.050228246,0.0502282
5.75,2.218,0.345,-0.176,247.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0547662,0.054766208,0.054766163
5.75,2.218,0.345,-0.176,262.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0606619,0.06066195,0.060661905
5.75,2.218,0.345,-0.176,277.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0679342,0.06793415,0.06793411
5.75,2.218,0.345,-0.176,292.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0764189,0.07641893,0.07641889
5.75,2.218,0.345,-0.176,307.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0856224,0.08562247,0.08562243
5.75,2.218,0.345,-0.176,322.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0945894,0.094589375,0.09458934
5.75,2.218,0.345,-0.176,337.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.10192,0.10192018,0.10192014
5.75,2.218,0.345,-0.176,352.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.106097,0.1060973,0.106097266
5.75,2.318,0.363,-0.232,7.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0827568,0.0827568,0.08275681
5.75,2.318,0.363,-0.232,22.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0779525,0.077952474,0.07795248
5.75,2.318,0.363,-0.232,37.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0700059,0.07000588,0.07000589
5.75,2.318,0.363,-0.232,52.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0610544,0.061054405,0.061054416
5.75,2.318,0.363,-0.232,67.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0526584,0.052658357,0.052658364
5.75,2.318,0.363,-0.232,82.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0455588,0.04555881,0.045558818
5.75,2.318,0.363,-0.232,97.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.039921,0.039920993,0.039921
5.75,2.318,0.363,-0.232,112.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0356321,0.035632156,0.035632163
5.75,2.318,0.363,-0.232,127.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0324938,0.0324938,0.032493807
5.75,2.318,0.363,-0.232,142.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0303142,0.030314252,0.030314261
5.75,2.318,0.363,-0.232,157.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0289437,0.028943669,0.028943678
