set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
105,5.75,1.88,0.215,-0.26,53.05,0.7443,0.06266,0.7445425,0.04092945,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,66.93,0.4401,0.05458,0.46891618,0.017110372,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,82.03,0.3138,0.03312,0.3126941,0.00882974,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,97.12,0.2632,0.02895,0.22770518,0.008482182,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,112.19,0.1565,0.02009,0.17910597,0.008879963,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,127.26,0.1554,0.03001,0.15048692,0.008873048,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,142.33,0.1348,0.03148,0.1336196,0.008697953,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,157.4,0.0947,0.01884,0.124179736,0.008542597,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,172.47,0.1333,0.04065,0.119937286,0.008464146,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,187.53,0.1023,0.03373,0.119937286,0.008464146,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,202.6,0.1361,0.02087,0.12417973,0.008542598,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,217.67,0.134,0.03694,0.13361959,0.008697949,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,232.74,0.1496,0.03915,0.15048692,0.008873048,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,247.81,0.1865,0.02838,0.17910595,0.008879965,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,262.88,0.2104,0.02794,0.22770515,0.008482187,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,277.97,0.3472,0.04697,0.3126941,0.00882974,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,293.07,0.4599,0.05584,0.46891582,0.017110385,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,306.95,0.7515,0.06399,0.7445425,0.04092945,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,318.14,0.0,0.0,1.165668,0.08233909,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,337.5,0.0,0.0,3.0923505,0.28435573,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,352.5,0.0,0.0,7.0068626,0.7028998,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
106,5.75,1.88,0.215,-0.34,7.5,0.0,0.0,11.402982,1.7285489,7.3220654,7.249992,9.769301,6.8470736,-5.892932,7.310042,0.062822014,0.057731144
